state_name,county,area_fips,low,high,Homeowners_less_100_AMI,total_homeowners,pred_fc_rate
Alabama,Autauga County,1001,3.43,NA,9401,15518,9.00E-03
Alabama,Baldwin County,1003,2.61,3.43,34700,59863,7.00E-03
Alabama,Barbour County,1005,0.78,1.01,4389,6098,7.00E-03
Alabama,Bibb County,1007,1.82,2.15,4112,5438,1.20E-02
Alabama,Blount County,1009,3.43,NA,10759,16755,1.10E-02
Alabama,Bullock County,1011,1.19,1.37,1756,2440,0.01
Alabama,Butler County,1013,0.78,1.01,3417,5240,1.40E-02
Alabama,Calhoun County,1015,1.37,1.58,20314,31188,1.10E-02
Alabama,Chambers County,1017,1.58,1.82,6835,9632,1.40E-02
Alabama,Cherokee County,1019,2.61,3.43,5479,7423,5.00E-03
Alabama,Chilton County,1021,2.61,3.43,8812,12419,1.10E-02
Alabama,Choctaw County,1023,1.19,1.37,2613,3435,1.10E-02
Alabama,Clarke County,1025,1.01,1.19,4888,6427,1.30E-02
Alabama,Clay County,1027,2.15,2.61,2853,3865,0.01
Alabama,Cleburne County,1029,2.15,2.61,3173,4299,9.00E-03
Alabama,Coffee County,1031,2.15,2.61,8570,13144,9.00E-03
Alabama,Colbert County,1033,1.01,1.19,10159,15157,9.00E-03
Alabama,Conecuh County,1035,1.58,1.82,2482,3263,1.90E-02
Alabama,Coosa County,1037,2.61,3.43,2183,3077,1.10E-02
Alabama,Covington County,1039,1.82,2.15,6382,9788,0.01
Alabama,Crenshaw County,1041,1.82,2.15,2352,3607,6.00E-03
Alabama,Cullman County,1043,1.58,1.82,17206,23782,8.00E-03
Alabama,Dale County,1045,0.78,1.01,8256,12479,1.20E-02
Alabama,Dallas County,1047,1.01,1.19,7613,10082,1.60E-02
Alabama,DeKalb County,1049,1.19,1.37,14348,19392,8.00E-03
Alabama,Elmore County,1051,3.43,NA,13744,22687,8.00E-03
Alabama,Escambia County,1053,1.01,1.19,7395,9722,1.40E-02
Alabama,Etowah County,1055,1.58,1.82,20049,28196,1.10E-02
Alabama,Fayette County,1057,1.82,2.15,3558,4954,1.10E-02
Alabama,Franklin County,1059,1.01,1.19,5886,8782,8.00E-03
Alabama,Geneva County,1061,2.61,3.43,4456,6735,9.00E-03
Alabama,Greene County,1063,1.19,1.37,1562,2068,1.20E-02
Alabama,Hale County,1065,3.43,NA,2772,3671,2.10E-02
Alabama,Henry County,1067,2.61,3.43,2867,4334,8.00E-03
Alabama,Houston County,1069,1.19,1.37,17379,26269,9.00E-03
Alabama,Jackson County,1071,1.37,1.58,10631,14368,8.00E-03
Alabama,Jefferson County,1073,0.78,1.01,90082,162209,1.10E-02
Alabama,Lamar County,1075,1.01,1.19,2971,4137,1.10E-02
Alabama,Lauderdale County,1077,1.82,2.15,17341,25872,8.00E-03
Alabama,Lawrence County,1079,2.61,3.43,6133,9554,9.00E-03
Alabama,Lee County,1081,1.82,2.15,20251,36810,7.00E-03
Alabama,Limestone County,1083,2.61,3.43,14327,27532,5.00E-03
Alabama,Lowndes County,1085,0.78,1.01,1796,2964,1.40E-02
Alabama,Macon County,1087,0.78,1.01,3170,4403,1.90E-02
Alabama,Madison County,1089,1.01,1.19,46353,93621,6.00E-03
Alabama,Marengo County,1091,1.82,2.15,3669,4859,1.20E-02
Alabama,Marion County,1093,1.01,1.19,6193,8767,0.01
Alabama,Marshall County,1095,1.19,1.37,16300,26925,7.00E-03
Alabama,Mobile County,1097,1.01,1.19,63711,99755,1.40E-02
Alabama,Monroe County,1099,1.19,1.37,4302,5656,1.40E-02
Alabama,Montgomery County,1101,0.78,1.01,30531,51073,1.30E-02
Alabama,Morgan County,1103,1.19,1.37,21911,34131,7.00E-03
Alabama,Perry County,1105,1.37,1.58,1794,2375,1.30E-02
Alabama,Pickens County,1107,1.82,2.15,3428,5975,1.20E-02
Alabama,Pike County,1109,0.78,1.01,5450,7571,5.00E-03
Alabama,Randolph County,1111,2.61,3.43,4745,6428,9.00E-03
Alabama,Russell County,1113,2.15,2.61,9738,13516,1.80E-02
Alabama,Shelby County,1117,1.82,2.15,29646,63660,7.00E-03
Alabama,St. Clair County,1115,3.43,NA,16158,25163,9.00E-03
Alabama,Sumter County,1119,0.78,1.01,2404,3183,5.00E-03
Alabama,Talladega County,1121,1.01,1.19,17117,23191,1.30E-02
Alabama,Tallapoosa County,1123,2.15,2.61,8257,11636,6.00E-03
Alabama,Tuscaloosa County,1125,1.19,1.37,26793,45629,1.20E-02
Alabama,Walker County,1127,1.19,1.37,13806,19226,0.01
Alabama,Washington County,1129,0.78,1.01,3300,4338,9.00E-03
Alabama,Wilcox County,1131,0.78,1.01,2175,2860,1.90E-02
Alabama,Winston County,1133,1.19,1.37,5110,7064,5.00E-03
